,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,window
28,252.85821533203125,247.49818420410156,1,20,100,128,0.001,10.0,g10.0,1
29,209.73948669433594,243.6049346923828,1,20,100,128,0.001,10.0,g10.0,1
30,208.07200622558594,239.7264404296875,1,20,100,128,0.001,10.0,g10.0,1
31,175.97378540039062,235.8862762451172,1,20,100,128,0.001,10.0,g10.0,1
32,197.59437561035156,232.06069946289062,1,20,100,128,0.001,10.0,g10.0,1
33,198.9483642578125,228.232421875,1,20,100,128,0.001,10.0,g10.0,1
34,147.8411865234375,224.44863891601562,1,20,100,128,0.001,10.0,g10.0,1
35,163.35206604003906,220.6823272705078,1,20,100,128,0.001,10.0,g10.0,1
36,155.85008239746094,216.92788696289062,1,20,100,128,0.001,10.0,g10.0,1
37,195.17849731445312,213.11575317382812,1,20,100,128,0.001,10.0,g10.0,1
38,182.13577270507812,209.2558135986328,1,20,100,128,0.001,10.0,g10.0,1
39,168.22702026367188,205.35665893554688,1,20,100,128,0.001,10.0,g10.0,1
40,150.2675018310547,201.39845275878906,1,20,100,128,0.001,10.0,g10.0,1
41,120.66624450683594,197.4071502685547,1,20,100,128,0.001,10.0,g10.0,1
42,157.03990173339844,193.3209686279297,1,20,100,128,0.001,10.0,g10.0,1
43,145.01622009277344,189.1262664794922,1,20,100,128,0.001,10.0,g10.0,1
44,170.9860076904297,184.7468719482422,1,20,100,128,0.001,10.0,g10.0,1
45,140.37481689453125,180.2090301513672,1,20,100,128,0.001,10.0,g10.0,1
46,169.37855529785156,175.42835998535156,1,20,100,128,0.001,10.0,g10.0,1
47,154.31735229492188,170.3769073486328,1,20,100,128,0.001,10.0,g10.0,1
48,113.78239440917969,165.09339904785156,1,20,100,128,0.001,10.0,g10.0,1
49,126.82891845703125,159.52447509765625,1,20,100,128,0.001,10.0,g10.0,1
50,114.06390380859375,153.66078186035156,1,20,100,128,0.001,10.0,g10.0,1
51,128.106201171875,147.4213409423828,1,20,100,128,0.001,10.0,g10.0,1
52,68.96044921875,141.077392578125,1,20,100,128,0.001,10.0,g10.0,1
53,88.17204284667969,134.47189331054688,1,20,100,128,0.001,10.0,g10.0,1
54,91.53437805175781,127.53404235839844,1,20,100,128,0.001,10.0,g10.0,1
55,117.72592163085938,120.2384262084961,1,20,100,128,0.001,10.0,g10.0,1
56,104.57205200195312,112.56340789794922,1,20,100,128,0.001,10.0,g10.0,1
57,90.29078674316406,104.6954345703125,1,20,100,128,0.001,10.0,g10.0,1
58,108.85568237304688,96.49662780761719,1,20,100,128,0.001,10.0,g10.0,1
59,84.8548583984375,88.28691101074219,1,20,100,128,0.001,10.0,g10.0,1
60,67.34381103515625,80.28783416748047,1,20,100,128,0.001,10.0,g10.0,1
61,48.32099533081055,72.73772430419922,1,20,100,128,0.001,10.0,g10.0,1
62,60.31436538696289,65.78179168701172,1,20,100,128,0.001,10.0,g10.0,1
63,74.43655395507812,59.397010803222656,1,20,100,128,0.001,10.0,g10.0,1
64,40.61845397949219,54.06145477294922,1,20,100,128,0.001,10.0,g10.0,1
65,40.386749267578125,49.93223571777344,1,20,100,128,0.001,10.0,g10.0,1
66,40.1212272644043,46.95756149291992,1,20,100,128,0.001,10.0,g10.0,1
67,39.991477966308594,45.1040153503418,1,20,100,128,0.001,10.0,g10.0,1
68,34.25493621826172,44.092079162597656,1,20,100,128,0.001,10.0,g10.0,1
69,50.93208312988281,43.72935485839844,1,20,100,128,0.001,10.0,g10.0,1
70,49.48198699951172,43.79661560058594,1,20,100,128,0.001,10.0,g10.0,1
