,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,window
57,102.52447509765625,95.86245727539062,1,20,100,128,0.001,1000.0,control,1
58,72.73153686523438,89.03926086425781,1,20,100,128,0.001,1000.0,control,1
59,75.99456024169922,82.27986907958984,1,20,100,128,0.001,1000.0,control,1
60,55.42551040649414,75.88179016113281,1,20,100,128,0.001,1000.0,control,1
61,46.93965148925781,69.96075439453125,1,20,100,128,0.001,1000.0,control,1
62,59.47245788574219,64.56633758544922,1,20,100,128,0.001,1000.0,control,1
63,64.88916778564453,59.81464385986328,1,20,100,128,0.001,1000.0,control,1
64,50.57749938964844,55.87583923339844,1,20,100,128,0.001,1000.0,control,1
65,45.37065887451172,52.917728424072266,1,20,100,128,0.001,1000.0,control,1
66,41.44196319580078,51.0241813659668,1,20,100,128,0.001,1000.0,control,1
67,38.5050048828125,50.14456558227539,1,20,100,128,0.001,1000.0,control,1
68,46.45479202270508,50.10042190551758,1,20,100,128,0.001,1000.0,control,1
69,44.84586715698242,50.67741394042969,1,20,100,128,0.001,1000.0,control,1
70,45.305931091308594,51.58924102783203,1,20,100,128,0.001,1000.0,control,1
71,34.2156867980957,52.48722457885742,1,20,100,128,0.001,1000.0,control,1
72,43.06932830810547,53.16350173950195,1,20,100,128,0.001,1000.0,control,1
73,46.85962677001953,53.508331298828125,1,20,100,128,0.001,1000.0,control,1
74,50.09307861328125,53.53412628173828,1,20,100,128,0.001,1000.0,control,1
75,53.054847717285156,53.266258239746094,1,20,100,128,0.001,1000.0,control,1
76,50.14871597290039,52.69476318359375,1,20,100,128,0.001,1000.0,control,1
77,34.386878967285156,52.069923400878906,1,20,100,128,0.001,1000.0,control,1
78,53.942665100097656,51.523582458496094,1,20,100,128,0.001,1000.0,control,1
79,42.42783737182617,50.97256851196289,1,20,100,128,0.001,1000.0,control,1
80,44.15436553955078,50.49136734008789,1,20,100,128,0.001,1000.0,control,1
81,45.03290557861328,50.195648193359375,1,20,100,128,0.001,1000.0,control,1
82,35.7335205078125,50.04658126831055,1,20,100,128,0.001,1000.0,control,1
83,29.949872970581055,50.048282623291016,1,20,100,128,0.001,1000.0,control,1
84,45.38279724121094,50.178409576416016,1,20,100,128,0.001,1000.0,control,1
85,46.61183166503906,50.387813568115234,1,20,100,128,0.001,1000.0,control,1
86,36.235530853271484,50.65040588378906,1,20,100,128,0.001,1000.0,control,1
87,34.49516677856445,50.91150665283203,1,20,100,128,0.001,1000.0,control,1
88,49.03767395019531,51.139896392822266,1,20,100,128,0.001,1000.0,control,1
89,38.621376037597656,51.36685562133789,1,20,100,128,0.001,1000.0,control,1
90,33.859527587890625,51.62667465209961,1,20,100,128,0.001,1000.0,control,1
91,49.70331954956055,51.818153381347656,1,20,100,128,0.001,1000.0,control,1
92,46.48505401611328,51.90911865234375,1,20,100,128,0.001,1000.0,control,1
